entry,photon_n,photon_pt,photon_eta,photon_phi,photon_etcone20,photon_ptcone30,photon_isTightID,myy
6077,2,[85213.21 60707.9 ],[-1.770773   -0.67785585],[-0.8913937 -2.933237 ],[-663.58264 1469.7722 ],[0. 0.],[ True  True],147.8538263863758
6351,2,[60003.562 33742.562],[0.20324439 1.2656964 ],[-0.40579194  2.4308295 ],[-630.765  2805.4802],[    0.    14606.087],[ True  True],102.08106095246207
6353,2,[61255.64  52118.613],[-0.31540388  0.2396427 ],[ 0.9283076 -2.239498 ],[-652.911  3232.7092],[0. 0.],[ True  True],117.37592263445283
6411,2,[68164.57  53309.434],[ 0.94220454 -0.03339167],[ 2.7731898  -0.47428107],[-229.59052 -248.11615],[0. 0.],[ True  True],135.04205729620793
6501,2,[72913.38 55157.77],[-0.9674444 -0.0092236],[ 1.7550613 -1.2869842],[-974.26855  112.10516],[0. 0.],[ True  True],141.53157911810425
6502,2,[57658.754 50736.434],[ 0.878605   -0.81288415],[ 1.6207842 -1.4014354],[-596.7976 2741.787 ],[    0.    14518.861],[ True  True],149.0836214286218
6634,2,[43273.6   33980.254],[0.4375716 2.090548 ],[2.9671223  0.22072725],[1485.0377  628.28  ],[0. 0.],[ True  True],103.32081168843784
6712,2,[53941.973 48183.34 ],[1.2905957  0.65139294],[-2.9983506   0.09806478],[3927.3037   -79.27118],[9471.808    0.   ],[ True  True],107.19006291173449
6722,2,[54994.785 50281.594],[ 0.76806086 -0.44978535],[ 2.9664075  -0.35659495],[ 683.4781  -976.17017],[0. 0.],[ True  True],124.91605914734693
6727,2,[59506.977 34491.938],[1.5955522 0.4413736],[ 1.1687379 -1.9451041],[1229.9597 1034.2576],[0. 0.],[ True  True],106.11314976044545
6739,2,[44165.348 42303.82 ],[-1.2398729  -0.04759343],[ 2.3750193  -0.79255885],[ 318.1309 3023.2961],[1457.8678    0.    ],[ True  True],102.26456740001184
6748,2,[56913.766 49313.01 ],[ 0.54218316 -0.6851643 ],[-0.99770325  2.176548  ],[ 104.461945 2308.6924  ],[12021.5205  6462.7964],[ True  True],126.52769827838581
6792,2,[114063.55   33712.867],[0.9422684 0.0947656],[0.07414939 2.739638  ],[-714.1416  349.4571],[0. 0.],[ True  True],132.12742669515654
6800,2,[123194.01   30754.252],[ 0.08196479 -0.03408466],[ 0.4694941 -1.7899792],[-481.38416 2245.3132 ],[    0.    15983.654],[ True  True],111.55345074179853
6922,2,[63970.12  46079.062],[0.91560674 0.06063291],[ 0.5167849 -2.6015775],[2108.2056  837.4167],[1211.245    0.   ],[ True  True],118.65215648685405
6981,2,[42829.496 36105.23 ],[-0.6338092  1.8258079],[-0.85359466  2.0527017 ],[ 797.3734 3135.2312],[0. 0.],[ True  True],145.71448080819889
6989,2,[42527.36 37115.52],[2.2273858  0.39164528],[-2.7980132  -0.10234828],[ 113.76985 -662.6484 ],[   0.     5117.8364],[ True  True],114.00116523404284
7000,2,[51212.89  41546.617],[-0.7815566 -1.7544539],[-1.6622365   0.96039796],[-138.92508  433.7002 ],[   0.     1106.7144],[ True  True],100.64047976578863
7027,2,[63070.637 52222.574],[-0.07559426 -1.819011  ],[ 1.4024466 -2.214478 ],[3598.6602 2418.59  ],[19582.027   1097.8787],[ True  True],158.94311794889208
7054,2,[54803.293 43768.016],[-0.14133787  1.097357  ],[-1.0621862  2.33775  ],[1328.486    282.65167],[1203.0692 3668.1328],[ True  True],116.66631093127212
7092,2,[49122.223 36997.047],[ 0.98290235 -0.45787835],[-1.0128628  2.1043544],[2053.376 3270.147],[ 1898.3715 10889.272 ],[ True  True],108.35364422538923
7160,2,[109809.54   58623.777],[-1.2166066 -1.1018237],[1.1073939 2.570697 ],[-1101.2096   475.9121],[0. 0.],[ True  True],107.60347496643908
7226,2,[61510.99  39001.418],[ 1.104302  -1.0012878],[-0.5728476  2.192836 ],[2805.294 3400.609],[2144.5303 1292.8329],[ True  True],156.38327819448497
7229,2,[67847.266 67350.73 ],[-1.8462725 -0.9760412],[-1.808117  1.178165],[-257.7813       0.4116211],[1090.9108 1552.4731],[ True  True],147.82681191250379
7241,2,[65331.625 32702.682],[ 0.39265004 -1.1593513 ],[ 2.5563538 -1.3800663],[ 106.18793 -452.70956],[   0.     1139.0115],[ True  True],116.32604659083987
7360,2,[81079.61  56678.086],[ 0.33132425 -0.3510427 ],[ 1.454122  -1.9947437],[ 971.68274 1994.9167 ],[   0.     4163.7007],[ True  True],142.03992529536566
7379,2,[68894.24 56521.09],[-0.23045035 -0.54764426],[ 0.6085456 -2.6802747],[-195.82358 -125.73123],[0. 0.],[ True  True],126.04258766048335
7397,2,[45854.75 41339.75],[ 1.0364347  -0.29611596],[-1.9965045  1.1617116],[ 192.06213 1316.2327 ],[   0.    8627.599],[ True  True],107.12860218371195
7478,2,[71274.85 59772.25],[1.2876537 1.8026617],[ 0.49857166 -2.3982139 ],[683.22723  -62.737793],[13695.108     0.   ],[ True  True],133.9482926054505
